GEOID,donations,total,estimate,rate_per_1000
20601,6976,190404.72999999975,25517,273.38636987106634
20602,6758,109716.81999999996,26550,254.53860640301318
20603,12854,248108.6100000006,31975,402.00156372165753
20606,11,131.43,374,29.41176470588235
20607,6889,181393.81000000043,10843,635.3407728488426
20608,337,2569.720000000003,860,391.8604651162791
20609,61,2290,1151,52.99739357080799
20611,46,1206,1634,28.151774785801713
20612,21,399.17,203,103.44827586206897
20613,6436,170352.85000000012,14020,459.0584878744651
20615,25,633,421,59.38242280285035
20616,1703,38740.899999999994,6389,266.5518860541556
20617,274,7542.26,832,329.3269230769231
20618,313,6069.32,406,770.935960591133
20619,2733,63659.01000000006,15052,181.57055540791922
20620,393,7357.65,1369,287.0708546384222
20621,66,967,960,68.75
20622,356,8922.109999999999,6887,51.69159285610571
20623,2075,33616.96000000001,2997,692.3590256923591
20624,60,795,1409,42.583392476933994
20625,454,9224.020000000004,646,702.7863777089783
20626,240,3636.8600000000006,304,789.4736842105264
20628,43,12163.26,477,90.14675052410902
20629,37,813,383,96.60574412532637
20630,371,24333.75,301,1232.5581395348836
20632,21,2812.5,432,48.611111111111114
20634,1095,27256.079999999944,6478,169.03365236184007
20636,2316,58391.37,10805,214.345210550671
20637,2083,40167.06999999999,5751,362.19787862980354
20639,3313,119571.28999999998,15793,209.77648325207372
20640,1569,24599.82999999998,10333,151.84360785831802
20645,199,10778.3,749,265.6875834445928
20646,5566,130374.95000000004,21951,253.56475786980093
20650,3964,144375.84000000023,14672,270.1744820065431
20653,3608,81705.0799999999,24274,148.6364010875834
20657,5067,125720.03000000009,19226,263.54936024133985
20658,288,10475.370000000004,848,339.62264150943395
20659,2061,66697.38,23312,88.40940288263555
20660,5,190,0,Inf
20662,316,3207.0199999999995,2876,109.87482614742699
20664,225,19794.23,3462,64.99133448873484
20667,37,1525.39,633,58.45181674565561
20670,100,2542.67,1441,69.39625260235947
20674,355,9889.67,848,418.6320754716981
20675,265,13192.1,2017,131.38324243926624
20676,4042,51759.59,3848,1050.4158004158005
20677,666,19220.51,2416,275.6622516556291
20678,2380,49224.85999999996,12261,194.11141016230323
20680,87,6197.360000000001,934,93.14775160599571
20684,90,3067.24,1066,84.42776735459661
20685,2422,44961.41000000005,6942,348.8908095649669
20686,776,26377.35,1775,437.1830985915493
20687,80,2937.49,448,178.57142857142858
20688,3855,84676.29000000008,1749,2204.1166380789023
20689,201,18325.74,2081,96.58817876021143
20690,697,10894.629999999992,905,770.1657458563535
20692,161,5585.110000000001,899,179.08787541713014
20693,226,5676.370000000001,833,271.3085234093637
20695,4407,98344.96999999994,8089,544.8139448633948
20701,127,5610.76,92,1380.4347826086955
20705,8949,263127.96999999945,27663,323.5007049126993
20706,12313,314519.8699999994,43670,281.95557591023584
20707,16759,392772.42999999854,32798,510.97627904140495
20708,7135,155413.97000000026,27843,256.258305498689
20710,645,28141.24,9553,67.51805715482047
20711,1572,67949.20999999996,7413,212.05989477944152
20712,4346,127500.21000000004,9608,452.33139050791004
20714,2108,41288.52999999997,4683,450.13879991458464
20715,17641,314771.77000000153,27556,640.1872550442735
20716,9976,277360.8199999999,22237,448.62166659171646
20720,17274,545108.1899999978,22971,751.9916416351051
20721,27247,1016134.5099999992,29730,916.4816683484696
20722,4938,57960.55000000015,5728,862.0810055865921
20723,12363,402577.18000000034,35411,349.12880178475615
20724,6276,110552.95999999986,17513,358.3623593901673
20732,4164,104842.46,9820,424.03258655804484
20733,1910,50651.11,2777,687.7925819229384
20735,15308,316990.6299999999,38220,400.52328623757194
20736,3030,72934.04000000002,9248,327.6384083044982
20737,3706,102120.56000000011,22295,166.2256111235703
20740,12587,317914.8899999996,31349,401.5120099524706
20742,56,12867.61,6726,8.325899494498959
20743,6852,165297.1299999999,37888,180.84881756756758
20744,31497,615052.9699999988,54925,573.4547109695038
20745,12754,230824.93999999977,27790,458.9420654911839
20746,5612,110835.93000000008,27041,207.53670352427795
20747,9223,156460.6300000003,40484,227.8183973915621
20748,12089,230580.97000000085,38904,310.73925560353695
20751,943,30918.42999999999,2091,450.98039215686276
20754,1806,52836.890000000014,7124,253.50926445816958
20755,718,13748.61,10873,66.03513289800424
20758,169,6653.169999999999,451,374.72283813747225
20759,4003,216717.4500000003,5311,753.7186970438712
20762,160,2821.08,3079,51.96492367651835
20763,1067,16640.289999999997,1635,652.5993883792049
20764,1593,58113.28999999995,3829,416.03551841211805
20765,376,18800.06,407,923.8329238329238
20769,7457,183612.53000000017,6222,1198.4892317582771
20770,17073,470197.8199999965,24560,695.1547231270358
20772,24555,701566.209999997,45321,541.801813728735
20774,28133,790564.2600000018,47165,596.4804410049826
20776,1344,43335.319999999985,3271,410.8835218587588
20777,2707,111532.35999999994,3687,734.2012476267969
20778,1436,39547.169999999984,2079,690.7166907166908
20779,687,29339.599999999988,993,691.8429003021148
20781,5853,231033.8899999996,11694,500.5130836326321
20782,12863,595571.0799999984,33398,385.14282292352834
20783,5720,339753.4999999998,45302,126.26374111518254
20784,5749,90245.51000000014,30270,189.92401717872482
20785,11413,374647.23999999976,38878,293.55933947219506
20794,2890,65081.25000000002,17939,161.1015106750655
20812,416,82029.63,309,1346.2783171521035
20814,54366,3840965.980000051,29021,1873.333103614624
20815,77637,9090681.019999975,30664,2531.8614662144532
20816,35071,3206491.790000002,16316,2149.485167933317
20817,65357,5935171.610000005,37315,1751.4940372504354
20818,3976,339569.6300000002,1971,2017.250126839168
20832,15646,505974.4099999999,26437,591.8220675568332
20833,4572,170021.89000000042,7369,620.4369656669833
20837,4684,155442.2500000004,6287,745.0294257992683
20838,448,18843.38,302,1483.4437086092717
20839,462,11704.82,97,4762.886597938144
20841,4010,161266.3100000001,11443,350.4325788691777
20842,978,55610.649999999994,1676,583.5322195704057
20850,45289,1625183.4800000193,53176,851.6812095682262
20851,5030,158464.17000000016,15489,324.7465943572858
20852,48307,1984718.029999996,46178,1046.1042054658062
20853,19911,556389.1599999968,31061,641.0289430475516
20854,55150,4750407.0800000075,49189,1121.1856309337454
20855,10620,442482.6699999997,15287,694.70792176359
20860,4148,138927.70000000022,2855,1452.889667250438
20861,2729,124085.48999999998,1449,1883.367839889579
20862,260,16786.32,341,762.4633431085044
20866,6180,175550.99000000046,16365,377.6351970669111
20868,451,11939.11,780,578.2051282051283
20871,8598,204083.8700000006,18628,461.56323813613915
20872,7302,125311.22000000012,12603,579.3858605094025
20874,22381,527915.7199999968,61087,366.37909866256325
20876,9660,214333.43000000037,30778,313.8605497433232
20877,15286,371444.01,38423,397.83463029956016
20878,41096,1313016.679999994,63030,652.0069808027923
20879,10054,219295.58000000264,26164,384.26846048004893
20880,1356,52557.24000000001,547,2478.9762340036564
20882,8651,261341.96000000025,13988,618.4586788676007
20886,16207,362243.20999999874,34834,465.26382270195785
20895,26497,1347975.3600000064,19026,1392.6731840639127
